ds,yhat,yhat_lower,yhat_upper
2022-01-18,20832952.783524886,3850652.206897757,36621979.45395991
2022-01-19,19354894.833261706,3064207.940979844,35661879.939743645
2022-01-20,30930506.32856201,14055490.994124455,46982796.14400469
2022-01-21,23405248.25389052,7417948.570984266,40398810.46435441
2022-01-22,39928911.740462326,22491006.270158973,56593761.30413702
2022-01-23,55511797.179400384,38691986.74144481,71571818.90620783
2022-01-24,31631178.99559418,13773847.088693827,47672487.395096414
2022-01-25,41539191.41101203,24441231.19285229,57613836.01098529
2022-01-26,34367456.32809748,17810213.90069334,51035811.26089192
2022-01-27,46778400.03826675,30931693.160784855,63878787.55189458
2022-01-28,23644327.935089514,7374211.148881797,39166703.69939055
2022-01-29,33143406.27255327,17374134.96299094,49866401.21138247
2022-01-30,33394205.982003175,17591205.690560676,49409794.24017917
2022-01-31,24983833.345856078,7778540.343557542,40818438.27087501
2022-02-01,25877717.163815163,9796217.298290972,43128469.98755627
2022-02-02,24131354.59875256,8234278.946325653,40927801.61422089
2022-02-03,22897209.711403172,6429992.965738501,38846980.08417061
2022-02-04,24814864.22607484,7925180.422557017,41395521.102929555
2022-02-05,33973809.44763836,17450151.332225837,49229333.008468494
2022-02-06,33878411.50482614,17916586.819627423,50736935.581224136
2022-02-07,25122660.350382686,9458203.519647285,40742674.9936421
2022-02-08,25678763.48756149,10127257.45717031,42502362.141271025
2022-02-09,23608738.61465781,7771431.002023659,39858021.05302303
2022-02-10,22071168.102059495,6020174.062880614,38182772.591824286
2022-02-11,23711218.212840848,7991806.41584887,41011816.46658442
2022-02-12,32623314.951669138,15804976.189607933,49781451.960157484
2022-02-13,32316011.208292827,16452876.108357081,48893691.09950945
2022-02-14,23386657.59249662,7635678.665542529,39893250.36587091
2022-02-15,23809939.331981838,8427007.54650421,40591322.594859816
2022-02-16,21649434.243339654,5866082.9369112905,37971576.94308536
2022-02-17,20064354.918685928,3737267.1038733646,36536757.7982975
2022-02-18,21699577.689940527,4275862.5739326,37477114.50631678
2022-02-19,30648349.354810435,15160632.976845039,46570324.3361549
2022-02-20,30417204.920720324,13168505.446791094,45213413.34413964
2022-02-21,21600706.89686384,4653126.736446156,36794056.61488224
2022-02-22,22170066.247630723,7768557.964232281,38138452.77625008
2022-02-23,20184797.441534787,4388007.453470383,36932671.224434055
2022-02-24,18799567.922746398,3438929.8998384397,34301908.25703582
2022-02-25,20654341.596912317,4111191.7178895883,35991254.23351568
2022-02-26,29837204.27185442,13408959.544321412,45872086.7871314
2022-02-27,29849401.29601683,13584287.279778961,45879776.02822148
2022-02-28,21280194.962719306,5580002.899461858,37775270.153765544
2022-03-01,22095599.05798273,5486093.420562575,37865909.7394684
2022-03-02,20350140.44049986,4668936.46570162,37810752.40465295
2022-03-03,19193805.750224873,2676208.432995353,36365699.65912263
2022-03-04,21262270.941413343,4108991.226742902,37554876.295747615
2022-03-05,30639800.066351343,14463148.586435698,46227198.1994248
2022-03-06,30824342.421155542,15084324.029834893,46527706.52765538
2022-03-07,22402434.94383233,7743904.44873155,38168223.925615884
2022-03-08,23337966.91892742,7838226.188017528,40836363.11229931
2022-03-09,21683956.993393555,5493514.315217329,38472386.09601183
2022-03-10,20589501.072790667,3109930.1298897583,36142815.1815329
2022-03-11,22689989.60952141,7072941.56075713,38436823.71575775
2022-03-12,32069981.82278816,17285032.43530554,48192023.213454746
